B,20210504,075500,        90,5912799,E
S,20210504,155500,        20,         1, 840863259,MIF/NENS275/020,Nestle Gold Blend Roastery,UK
S,20210504,155520,        10,         2, 840739015,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,155530,        30,         3, 836361270,DRG/BARC066/030,Barclays Barclaycard Brand,UK
B,20210504,165500,        90,5912821,E
S,20210504,165500,        30,         1, 836580825,MCL/HSSS007/030,Hotter Shoes SR,UK
S,20210504,165530,        30,         2, 840863258,MCE/JEAT082/030,Just Eat BAU,UK
S,20210504,165600,        10,         3, 840738939,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,165610,        10,         4, 840662370,CHF/STUD898/010,Express Gifts,UK
S,20210504,165620,        10,         5, 840755632,ABF/MTHS002/010,My Tutor,UK
B,20210504,175800,       120,5914181,E
S,20210504,175800,        30,         1, 840865748,VCC/CADM119/030,Cadbury Dairy Milk (BAR),UK
S,20210504,175830,        10,         2, 840700644,KAR/CONF131/010,Confused Rewards,UK
S,20210504,175840,        20,         3, 840864282,UTV/OCTO417/020,Octopus Energy Direct,UK
S,20210504,175900,        10,         4, 840865435,WPP/GLDI087/010,Glasses Direct,UK
S,20210504,175910,        10,         5, 840738940,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,175920,        20,         6, 840609941,MCW/AMEX033/020,American Express Brand,UK
S,20210504,175940,        10,         7, 840744168,BMO/ZIFF003/010,Ziffit.com,UK
S,20210504,175950,        10,         8, 840864283,UTV/OCTO418/010,Octopus Energy Direct,UK
B,20210504,181230,        60,5912823,C
S,20210504,181230,        30,         1, 840634186,DRG/AMAL115/030,Amazon Just Ask Alexa,UK
S,20210504,181300,        10,         2, 840747030,AMZ/PRWR006/010,Amazon Engage Prime,UK
S,20210504,181310,        10,         3, 840738941,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,181320,        10,         4, 840865745,PMC/PRMF001/010,1 Million Unisex Fragrance,UK
B,20210504,182000,        60,5912824,E
S,20210504,182000,        10,         1, 840865109,KAR/CONF131/010,Confused Rewards,UK
S,20210504,182010,        10,         2, 840747237,AMZ/PRWR006/010,Amazon Engage Prime,UK
S,20210504,182020,        10,         3, 840739016,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,182030,        30,         4, 836361275,GOS/SFMM007/030,Welsh Government Student Finance,UK
B,20210504,184500,       180,5912827,C
S,20210504,184500,        30,         1, 840741131,IGC/WRUK002/030,Amazon Prime Video,UK
S,20210504,184530,        30,         2, 840864142,HOG/NEST186/030,Nestle Smarties,UK
S,20210504,184600,        30,         3, 836705109,MCL/HSSS006/030,Hotter Shoes SR,UK
S,20210504,184630,        30,         4, 836725721,MKN/PEBI030/030,Peloton Direct SR,UK
S,20210504,184700,        10,         5, 840738942,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,184710,        10,         6, 836725722,VCC/SICO002/010,Simply Cook Shared Reward,UK
S,20210504,184720,        10,         7, 840741132,AMZ/PRWR005/010,Amazon Prime Video,UK
S,20210504,184730,        30,         8, 837158209,PCH/BADH001/030,Badoo Dating Site (BAR),UK
B,20210504,185500,       150,5912828,E
S,20210504,185500,        20,         1, 838078468,HKX/AWEM020/020,Airwick Electrical Essential Mist,UK
S,20210504,185520,        20,         2, 838078469,NSR/BHPP001/020,Harpic,UK
S,20210504,185540,        20,         3, 840744059,KAR/LIDL205/020,Lidl Summer Trade Drive,UK
S,20210504,185600,        10,         4, 838078470,PMC/PRMF001/010,1 Million Unisex Fragrance,UK
S,20210504,185610,        10,         5, 840738943,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,185620,        20,         6, 838078471,MCE/RBNF014/020,Nurofen Body,UK
S,20210504,185640,        30,         7, 838078472,WNP/FSBK001/030,Freemans,UK
S,20210504,185710,        20,         8, 838078467,SAA/RIMM892/020,Rimmel Lasting Finish,UK
B,20210504,191500,       180,5912829,C
S,20210504,191500,        10,         1, 838042473,KAR/KENC013/010,Kenco Duo,UK
S,20210504,191510,        10,         2, 838111811,AMZ/PRWR006/010,Amazon Engage Prime,UK
S,20210504,191520,        30,         3, 840563018,BDE/LGEV001/030,LG Electronics OLED TV,UK
S,20210504,191550,        20,         4, 840744792,KRO/BIFL002/020,Boehringer Frontline,UK
S,20210504,191610,        10,         5, 840738944,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,191620,        30,         6, 837130749,GUS/TIDE018/030,Tide Business Banking,UK
S,20210504,191650,        30,         7, 838151117,PNR/SPOL001/030,Beefeater (BAR),UK
S,20210504,191720,        30,         8, 840865490,CLD/CCEG006/030,Cotswolds Furniture DRTV,UK
S,20210504,191750,        10,         9, 837943977,IRI/BCBR013/010,Cinch,UK
B,20210504,192500,        90,5912830,E
S,20210504,192500,        30,         1, 836685149,MKN/PEBI024/030,Peloton Direct SR,UK
S,20210504,192530,        10,         2, 840747260,AMZ/PRWR006/010,Amazon Engage Prime,UK
S,20210504,192540,        10,         3, 840864876,BRO/WBAC051/010,We Buy Any Car Direct,UK
S,20210504,192550,        10,         4, 840739017,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,192600,        10,         5, 836685148,VCC/SICO002/010,Simply Cook Shared Reward,UK
S,20210504,192610,        20,         6, 838956783,JLN/USWT061/020,Uswitch Brand (BAR),UK
B,20210504,195500,        90,5912831,E
S,20210504,195500,        20,         1, 840623901,HOG/JHAV323/020,J&J Aveeno,UK
S,20210504,195520,        30,         2, 837091766,QST/YOSF125/030,Youngs Gastro (BAR),UK
S,20210504,195550,        10,         3, 837091765,MRB/SIBR013/010,Simba Sleep TV  (NBA),UK
S,20210504,195600,        20,         4, 837091764,GUS/TIDE019/020,Tide Business Banking,UK
S,20210504,195620,        10,         5, 840691166,KAR/CONF131/010,Confused Rewards,UK
B,20210504,201230,       210,5912832,C
S,20210504,201230,        30,         1, 838018705,SIG/KPNU003/030,KP Nuts,UK
S,20210504,201300,        10,         2, 838018706,QST/YOSF127/010,Youngs Gastro (BAR),UK
S,20210504,201310,        30,         3, 838374859,SHT/DPMA319/030,Disney Plus Star Sustain,UK
S,20210504,201340,        30,         4, 837097086,TTB/KFBM003/030,Boomin Brand (MNE),UK
S,20210504,201410,        30,         5, 836385484,BIW/WELS001/030,Bioinnovation Wales,UK
S,20210504,201440,        20,         6, 838366271,MCE/RBDT027/020,Dettol Personal Care,UK
S,20210504,201500,        20,         7, 840623823,HOG/JHAV323/020,J&J Aveeno,UK
S,20210504,201520,        10,         8, 840692494,SMQ/SPBR006/010,Etsy,UK
S,20210504,201530,        30,         9, 836877912,INN/KIAM051/030,Kia Electric (NBA),UK
B,20210504,202000,       180,5912833,E
S,20210504,202000,        20,         1, 838954261,EGP/AMFU062/020,Amazon Core Proposition,UK
S,20210504,202020,        20,         2, 840623902,HOG/JHAV323/020,J&J Aveeno,UK
S,20210504,202040,        30,         3, 837097077,QST/YOSF125/030,Youngs Gastro (BAR),UK
S,20210504,202110,        30,         4, 839232714,FRS/CRWW001/030,Cancer Research Wales,UK
S,20210504,202140,        10,         5, 837097078,MRB/SIBR013/010,Simba Sleep TV  (NBA),UK
S,20210504,202150,        30,         6, 837097079,GUS/TIDE018/030,Tide Business Banking,UK
S,20210504,202220,        30,         7, 840565972,BDE/LGEV001/030,LG Electronics OLED TV,UK
S,20210504,202250,        10,         8, 840692495,KAR/CONF131/010,Confused Rewards,UK
B,20210504,204000,        60,5912834,C
